domain_concept_id_1,fact_id_1,domain_concept_id_2,fact_id_2,relationship_concept_id
4160040,60001,4129948,90001,4041840
4160040,60002,4129948,90002,4041840
4160040,60003,4129948,90003,4041840
4160040,60004,4129948,90004,4041840
4160040,90005,4129948,60005,4041840
4160040,60006,4129948,90006,4041840
4160040,60007,4129948,90007,4041840
4160040,60008,4129948,90008,4041840
4160040,60009,4129948,90009,4041840
4160040,60010,4129948,90010,4041840
4160040,60011,4129948,90011,4041840
4160040,60012,4129948,90012,4041840
4160040,60013,4129948,90013,4041840
4160040,60014,4129948,90014,4041840
4160040,60015,4129948,90015,4041840
4160040,60016,4129948,90016,4041840
4160040,60017,4129948,90017,4041840
4160040,60018,4129948,90018,4041840
4160040,60019,4129948,90019,4041840
4160040,60020,4129948,90020,4041840
4160040,60021,4129948,90021,4041840
4160040,60022,4129948,90022,4041840
4160040,60023,4129948,90023,4041840
4160040,60024,4129948,90024,4041840
4160040,60025,4129948,90025,4041840
4160040,60026,4129948,90026,4041840
4160040,60027,4129948,90027,4041840
4160040,60028,4129948,90028,4041840
4160040,60029,4129948,90029,4041840
4160040,60030,4129948,90030,4041840
4160040,60031,4129948,90031,4041840
4160040,60032,4129948,90032,4041840
4160040,60033,4129948,90033,4041840
4160040,60034,4129948,90034,4041840
4160040,60035,4129948,90035,4041840
4160040,60036,4129948,90036,4041840
4160040,60037,4129948,90037,4041840
4160040,60038,4129948,90038,4041840
4160040,60039,4129948,90039,4041840
4160040,60040,4129948,90040,4041840
4160040,60041,4129948,90041,4041840
4160040,60042,4129948,90042,4041840
4160040,60043,4129948,90043,4041840
4160040,60044,4129948,90044,4041840
4160040,60045,4129948,90045,4041840
4160040,60046,4129948,90046,4041840
4160040,60047,4129948,90047,4041840
4160040,60048,4129948,90048,4041840
4160040,60049,4129948,90049,4041840
4160040,60050,4129948,90050,4041840
4160040,60051,4129948,90051,4041840
4160040,60052,4129948,90052,4041840
4160040,60053,4129948,90053,4041840
4160040,60054,4129948,90054,4041840
4160040,60055,4129948,90055,4041840
4160040,60056,4129948,90056,4041840
4160040,60057,4129948,90057,4041840
4160040,60058,4129948,90058,4041840
4160040,60059,4129948,90059,4041840
4160040,60060,4129948,90060,4041840
4160040,90061,4129948,60061,4041840
4160040,60062,4129948,90062,4041840
4160040,60063,4129948,90063,4041840
4160040,60064,4129948,90064,4041840
4160040,60065,4129948,90065,4041840
4160040,60066,4129948,90066,4041840
4160040,60067,4129948,90067,4041840
4160040,60068,4129948,90068,4041840
4160040,60069,4129948,90069,4041840
4160040,60070,4129948,90070,4041840
4160040,60071,4129948,90071,4041840
4160040,60072,4129948,90072,4041840
4160040,60073,4129948,90073,4041840
4160040,60074,4129948,90074,4041840
4160040,60075,4129948,90075,4041840
4160040,60076,4129948,90076,4041840
4160040,60077,4129948,90077,4041840
4160040,60078,4129948,90078,4041840
4160040,90079,4129948,60079,4041840
4160040,60080,4129948,90080,4041840
4160040,60081,4129948,90081,4041840
4160040,60082,4129948,90082,4041840
4160040,60083,4129948,90083,4041840
4160040,60084,4129948,90084,4041840
4160040,60085,4129948,90085,4041840
4160040,60086,4129948,90086,4041840
4160040,60087,4129948,90087,4041840
4160040,60088,4129948,90088,4041840
4160040,60089,4129948,90089,4041840
4160040,60090,4129948,90090,4041840
4160040,60091,4129948,90091,4041840
4160040,60092,4129948,90092,4041840
4160040,60093,4129948,90093,4041840
4160040,60094,4129948,90094,4041840
4160040,60095,4129948,90095,4041840
4160040,60096,4129948,90096,4041840
4160040,60097,4129948,90097,4041840
4160040,60098,4129948,90098,4041840
4160040,60099,4129948,90099,4041840
4160040,60100,4129948,90100,4041840
4160040,60101,4129948,90101,4041840
4160040,60102,4129948,90102,4041840
4160040,60103,4129948,90103,4041840
4160040,60104,4129948,90104,4041840
4160040,60105,4129948,90105,4041840
4160040,60106,4129948,90106,4041840
4160040,60107,4129948,90107,4041840
4160040,60108,4129948,90108,4041840
4160040,60109,4129948,90109,4041840
4160040,60110,4129948,90110,4041840
4160040,60111,4129948,90111,4041840
4160040,60112,4129948,90112,4041840
4160040,60113,4129948,90113,4041840
4160040,60114,4129948,90114,4041840
4160040,60115,4129948,90115,4041840
4160040,60116,4129948,90116,4041840
4160040,60117,4129948,90117,4041840
4160040,60118,4129948,90118,4041840
4160040,60119,4129948,90119,4041840
4160040,60120,4129948,90120,4041840
4160040,60121,4129948,90121,4041840
4160040,60122,4129948,90122,4041840
4160040,60123,4129948,90123,4041840
4160040,60124,4129948,90124,4041840
4160040,60125,4129948,90125,4041840
4160040,60126,4129948,90126,4041840
4160040,60127,4129948,90127,4041840
4160040,60128,4129948,90128,4041840
4160040,60129,4129948,90129,4041840
4160040,60130,4129948,90130,4041840
4160040,60131,4129948,90131,4041840
4160040,60132,4129948,90132,4041840
4160040,60133,4129948,90133,4041840
4160040,90134,4129948,60134,4041840
4160040,60135,4129948,90135,4041840
4160040,60136,4129948,90136,4041840
4160040,60137,4129948,90137,4041840
4160040,60138,4129948,90138,4041840
4160040,60139,4129948,90139,4041840
4160040,60140,4129948,90140,4041840
4160040,60141,4129948,90141,4041840
4160040,60142,4129948,90142,4041840
4160040,60143,4129948,90143,4041840
4160040,60144,4129948,90144,4041840
4160040,60145,4129948,90145,4041840
4160040,60146,4129948,90146,4041840
4160040,60147,4129948,90147,4041840
4160040,60148,4129948,90148,4041840
4160040,60149,4129948,90149,4041840
4160040,60150,4129948,90150,4041840
4160040,60151,4129948,90151,4041840
4160040,60152,4129948,90152,4041840
4160040,60153,4129948,90153,4041840
4160040,90154,4129948,60154,4041840
4160040,60155,4129948,90155,4041840
4160040,60156,4129948,90156,4041840
4160040,60157,4129948,90157,4041840
4160040,60158,4129948,90158,4041840
4160040,60159,4129948,90159,4041840
4160040,60160,4129948,90160,4041840
4160040,60161,4129948,90161,4041840
4160040,60162,4129948,90162,4041840
4160040,60163,4129948,90163,4041840
4160040,60164,4129948,90164,4041840
4160040,60165,4129948,90165,4041840
4160040,60166,4129948,90166,4041840
4160040,60167,4129948,90167,4041840
4160040,60168,4129948,90168,4041840
4160040,60169,4129948,90169,4041840
4160040,60170,4129948,90170,4041840
4160040,60171,4129948,90171,4041840
4160040,60172,4129948,90172,4041840
4160040,60173,4129948,90173,4041840
4160040,60174,4129948,90174,4041840
4160040,60175,4129948,90175,4041840
4160040,60176,4129948,90176,4041840
4160040,60177,4129948,90177,4041840
4160040,60178,4129948,90178,4041840
4160040,60179,4129948,90179,4041840
4160040,60180,4129948,90180,4041840
4160040,60181,4129948,90181,4041840
4160040,60182,4129948,90182,4041840
4160040,60183,4129948,90183,4041840
4160040,60184,4129948,90184,4041840
4160040,60185,4129948,90185,4041840
